"Artikelnummer";"Artikelname";
"00001";"Überspielung auf andere Medien";
"00002";"DVD Vervielfältigung DL";
"00003";"DVD Verfielfältigung";
"10001";"Noppenbahn für Schalldämmung";
"00101";"Spirit Live 16/4";
"00102";"D-Pack 6x10A";
"00103";"Par64 Bar";
"00104";"F80Z";
"00105";"Lightdesk Pro 136";
"00106";"Strobe 200 DMX";
"00107";"BNC";
"00108";"SV-10A";
"00109";"Quadro";
"00110";"Quadro";
"00111";"PVM-8040 ME";
"00116";"WV-5200BU/G";
"00112";"500VA";
"00113";"Harting Plug Box";
"00114";"3-Punkt";
"00115";"SEG-2000AP";
"00117";"LDK 4210";
"00118";"528A";
"00119";"Power Mixer 749";
"00120";"Camera Setup Switcher";
"00121";"TM14-17RP";
"00123";"DVM-2000";
"10002";"19"" Zoll Rack, 10HE, 65cm Einbautiefe";
"00125";"Verbrauchsmaterial";
"00126";"Lichtstativ";
"00127";"Siderack";
"00128";"Truhencase 40x60x43";
"00129";"Messerleisten Multicore 25m";
"00186";"Kameramann";
"00131";"16/4 Multicore 25m";
"00132";"Tontechniker";
"00133";"Auf- und Abbauhelfer";
"00134";"Lichttechniker";
"00006";"Postproduktion von Fremdmaterial";
"00007";"Rendering- Zeit";
"00137";"Schukoverteiler 5-fach";
"00138";"LaKa Auflösung";
"00139";"Mikrofonstative";
"00143";"MCE 86N(C)S";
"00144";"Schuko Unterverteilung mit FI - 3x Schuko";
"00145";"DXC-M3AP";
"00146";"Intercom Sprechsystem";
"00147";"Truhencase 60x80x43";
"00148";"Truhencase 60x60x43";
"00149";"4HE Case - Ultratief (83cm)";
"00150";"10HE Case - Ultratief (83cm)";
"00151";"BNC";
"00152";"Postproduktion von Fremdmaterial";
"00153";"RM-E300";
"00008";"Inhaltliche Bearbeitung";
"00152";"PVM - 2730 QM";
"15747";"DDRAM 1024MB PC400 Kingston CL3";
"00157";"SchuKo Verlängerung - 10m (Rot)";
"00158";"3x16 A - 4m (Grün)";
"00159";"Schuko Verlängerung 1,5m";
"00160";"Mehrfachleiste 6-fach Schuko";
"00161";"Schuko-Verlängerung 5m";
"00162";"3x16 A auf Schuko";
"00163";"Adapter Schuko auf 1x16A CEE";
"00164";"Schuko 6-Fachleiste auf 3x16A CEE";
"00165";"Mehrfachleiste Schuko 3-fach";
"00166";"Hartingmulticore";
"00167";"Hartingmulticore";
"00168";"N-19";
"00169";"Hexacon";
"00170";"Giant Strobe";
"00171";"minim F";
"00172";"4-Punkt";
"00173";"Boxenstativ";
"912892";"FS-1010";
"00175";"HD-25";
"00176";"DSR-200";
"56838";"USB2.0/eSata 3,5"" Sata - Externes SATA Gehäuse";
"38300";"500GB SATA2 7200 16mb";
"00179";"SSM 6";
"00180";"Tonangelset";
"00181";"SSM 6";
"00127";"Tonangel 23770";
"00183";"BNC";
"00184";"AV Techniker";
"00185";"Kamerassistent";
"00187";"Bildmischer";
"00136";"PowerPoint Operator";
"00188";"Variocomb PAL Decoder";
"00189";"AV Assistent";
"00190";"Kabelmatten";
"00191";"XLR Kabel";
"00192";"BNC 10m";
"00193";"Minidisk Deck MDS-JE330";
"00194";"TDD-2000";
"00195";"NV-HS900";
"00196";"32A UV";
"00001";"Kameramann";
"00005";"Service (Provision)";
"00122";"Transporter Tagespauschale";
"00140";"Transporter-  KM Pauschale";
"00141";"Transporter KM-Pauschale";
"00142";"PKW KM-Pauschale";
